transaction_id,customer_id,account_type,transaction_date,transaction_type,merchant_category,transaction_channel,transaction_amount,transaction_status,state
TXN0000000048,CUST000001,Loan Account,2026-04-23,Debit,Shopping,UPI,640.21,Success,Utah
TXN0000000049,CUST000001,Credit Card,2026-01-03,Debit,Restaurant,UPI,2647.36,Success,Utah
TXN0000000050,CUST000001,Savings Account,2025-08-01,Debit,Education,UPI,13534.41,Success,Utah
TXN0000000051,CUST000001,Savings Account,2026-03-09,Debit,Entertainment,ATM,6392.47,Success,Utah
TXN0000000052,CUST000001,Loan Account,2026-01-19,Credit,Refund,UPI,89327.46,Success,Utah
TXN0000000053,CUST000001,Savings Account,2025-07-14,Debit,Utilities,UPI,11158.33,Success,Utah
TXN0000000054,CUST000001,Credit Card,2026-01-10,Credit,Refund,Mobile Banking,30019.03,Success,Utah
TXN0000000055,CUST000001,Credit Card,2026-02-16,Debit,Fuel,UPI,843.13,Success,Utah
TXN0000000056,CUST000001,Loan Account,2026-01-20,Credit,Salary Credit,UPI,67733.36,Success,Utah
TXN0000000057,CUST000001,Credit Card,2026-06-19,Debit,Loan EMI,Mobile Banking,3089.23,Success,Utah
TXN0000000058,CUST000001,Loan Account,2026-05-10,Debit,Healthcare,ATM,5048.32,Success,Utah
TXN0000000059,CUST000001,Loan Account,2025-07-22,Debit,Fuel,UPI,10777.39,Success,Utah
TXN0000000060,CUST000001,Loan Account,2026-01-20,Debit,Utilities,UPI,5781.21,Success,Utah
TXN0000000061,CUST000001,Loan Account,2025-12-11,Debit,Groceries,POS,13550.68,Success,Utah
TXN0000000062,CUST000001,Credit Card,2025-07-27,Debit,Restaurant,Internet Banking,3281.68,Success,Utah
TXN0000000063,CUST000001,Credit Card,2026-02-12,Debit,Restaurant,Mobile Banking,6388.09,Success,Utah
TXN0000000064,CUST000001,Loan Account,2026-03-21,Debit,Restaurant,UPI,5172.61,Success,Utah
TXN0000000065,CUST000001,Credit Card,2025-10-18,Debit,Loan EMI,Internet Banking,11171.44,Success,Utah
TXN0000000066,CUST000001,Credit Card,2026-03-15,Debit,Groceries,UPI,14304.0,Success,Utah
TXN0000000067,CUST000001,Savings Account,2025-11-17,Debit,Groceries,ATM,14767.07,Success,Utah
TXN0000000068,CUST000001,Savings Account,2026-04-24,Debit,Groceries,POS,10597.14,Success,Utah
TXN0000000069,CUST000001,Credit Card,2026-03-18,Debit,Healthcare,UPI,11665.67,Success,Utah
TXN0000000070,CUST000001,Savings Account,2025-11-17,Credit,Salary Credit,UPI,14519.65,Success,Utah
TXN0000000071,CUST000001,Credit Card,2025-08-29,Debit,Restaurant,UPI,8604.42,Success,Utah
TXN0000000072,CUST000001,Savings Account,2025-11-07,Credit,Salary Credit,UPI,91616.93,Success,Utah
TXN0000000073,CUST000001,Credit Card,2025-08-22,Debit,Insurance,Mobile Banking,4521.01,Success,Utah
TXN0000000074,CUST000001,Loan Account,2026-05-28,Debit,Healthcare,UPI,3900.16,Success,Utah
TXN0000000075,CUST000001,Credit Card,2026-01-20,Debit,Utilities,UPI,10743.08,Success,Utah
TXN0000000076,CUST000001,Loan Account,2025-07-17,Debit,Fuel,Mobile Banking,6592.08,Success,Utah
TXN0000000077,CUST000001,Credit Card,2025-12-21,Credit,Cash Deposit,Mobile Banking,52928.18,Success,Utah
TXN0000000078,CUST000001,Loan Account,2026-03-18,Credit,Salary Credit,POS,77276.41,Success,Utah
TXN0000000079,CUST000001,Credit Card,2026-04-15,Debit,Shopping,Internet Banking,6138.43,Success,Utah
TXN0000000080,CUST000001,Loan Account,2025-09-23,Credit,Loan Disbursement,Mobile Banking,58071.13,Success,Utah
TXN0000000081,CUST000001,Credit Card,2025-12-26,Debit,Shopping,UPI,13069.34,Success,Utah
TXN0000000082,CUST000001,Credit Card,2026-03-01,Debit,Fuel,UPI,13254.78,Success,Utah
TXN0000000083,CUST000001,Savings Account,2025-08-10,Debit,Healthcare,Mobile Banking,1255.24,Success,Utah
TXN0000000084,CUST000001,Savings Account,2025-08-24,Credit,Salary Credit,UPI,12792.7,Success,Utah
TXN0000000085,CUST000001,Loan Account,2026-02-27,Debit,Utilities,UPI,8677.56,Success,Utah
TXN0000000086,CUST000001,Savings Account,2026-01-30,Debit,Restaurant,UPI,11344.92,Success,Utah
TXN0000000087,CUST000001,Credit Card,2026-03-29,Debit,Fuel,Mobile Banking,10321.54,Success,Utah
TXN0000000088,CUST000001,Loan Account,2025-09-04,Debit,Utilities,Mobile Banking,1977.57,Success,Utah
TXN0000000089,CUST000001,Loan Account,2025-12-31,Debit,Restaurant,POS,1095.5,Success,Utah
TXN0000000090,CUST000001,Credit Card,2026-01-04,Debit,Groceries,POS,6590.85,Success,Utah
TXN0000000091,CUST000002,Loan Account,2026-02-20,Debit,Groceries,POS,1139.21,Success,North Carolina
TXN0000000092,CUST000002,Loan Account,2026-02-21,Credit,Interest Credit,Mobile Banking,25919.32,Success,North Carolina
TXN0000000093,CUST000002,Credit Card,2025-09-20,Debit,Loan EMI,POS,1745.68,Success,North Carolina
TXN0000000094,CUST000002,Savings Account,2026-01-08,Debit,Groceries,UPI,5120.62,Success,North Carolina
TXN0000000095,CUST000002,Savings Account,2025-10-17,Debit,Entertainment,UPI,4236.98,Success,North Carolina
TXN0000000096,CUST000002,Loan Account,2025-11-07,Debit,Healthcare,Mobile Banking,2982.61,Success,North Carolina
TXN0000000097,CUST000002,Loan Account,2026-03-06,Debit,Travel,UPI,649.01,Success,North Carolina
TXN0000000098,CUST000002,Loan Account,2025-09-30,Debit,Shopping,UPI,3232.44,Success,North Carolina
TXN0000000099,CUST000002,Savings Account,2026-01-28,Debit,Fuel,UPI,1583.28,Success,North Carolina
TXN0000000100,CUST000002,Credit Card,2026-02-17,Debit,Healthcare,UPI,1192.38,Success,North Carolina
TXN0000000101,CUST000002,Savings Account,2026-02-07,Credit,Salary Credit,UPI,17734.94,Success,North Carolina
TXN0000000102,CUST000002,Savings Account,2025-09-28,Debit,Groceries,UPI,3251.4,Success,North Carolina
TXN0000000103,CUST000002,Savings Account,2025-09-18,Credit,Cash Deposit,UPI,38875.65,Success,North Carolina
TXN0000000104,CUST000002,Credit Card,2026-05-11,Debit,Fuel,UPI,5796.44,Success,North Carolina
TXN0000000105,CUST000002,Savings Account,2025-09-23,Debit,Groceries,UPI,3813.73,Success,North Carolina
TXN0000000106,CUST000002,Loan Account,2025-08-26,Debit,Fuel,UPI,3392.63,Success,North Carolina
TXN0000000107,CUST000002,Credit Card,2026-02-02,Debit,Shopping,Mobile Banking,2712.05,Success,North Carolina
TXN0000000108,CUST000002,Loan Account,2026-03-22,Debit,Loan EMI,Mobile Banking,685.48,Success,North Carolina
TXN0000000109,CUST000002,Credit Card,2025-11-20,Debit,Fuel,UPI,3356.75,Success,North Carolina
TXN0000000110,CUST000002,Credit Card,2026-06-02,Debit,Groceries,UPI,1799.82,Success,North Carolina
TXN0000000111,CUST000002,Savings Account,2025-12-03,Credit,Refund,Internet Banking,33127.61,Success,North Carolina
TXN0000000112,CUST000002,Savings Account,2026-04-15,Debit,Groceries,UPI,1667.23,Success,North Carolina
TXN0000000113,CUST000002,Credit Card,2025-07-21,Debit,Insurance,UPI,5535.04,Success,North Carolina
TXN0000000114,CUST000002,Loan Account,2026-06-18,Debit,Fuel,UPI,3285.89,Success,North Carolina
TXN0000000115,CUST000002,Loan Account,2025-09-17,Debit,Restaurant,UPI,252.6,Success,North Carolina
TXN0000000116,CUST000002,Savings Account,2025-11-10,Debit,Healthcare,POS,4946.39,Success,North Carolina
TXN0000000117,CUST000002,Credit Card,2026-05-23,Debit,Fuel,UPI,5981.98,Success,North Carolina
TXN0000000118,CUST000002,Credit Card,2025-07-18,Debit,Fuel,UPI,717.14,Success,North Carolina
TXN0000000119,CUST000002,Savings Account,2026-01-28,Debit,Shopping,UPI,4586.95,Success,North Carolina
TXN0000000120,CUST000002,Savings Account,2025-08-06,Debit,Travel,Mobile Banking,5202.97,Success,North Carolina
TXN0000000121,CUST000002,Credit Card,2025-08-22,Debit,Groceries,ATM,3158.79,Success,North Carolina
TXN0000000122,CUST000002,Loan Account,2025-11-02,Debit,Fuel,UPI,872.98,Success,North Carolina
TXN0000000123,CUST000002,Loan Account,2026-07-01,Credit,Cash Deposit,UPI,15768.39,Success,North Carolina
TXN0000000124,CUST000002,Savings Account,2025-08-11,Debit,Loan EMI,POS,5486.29,Success,North Carolina
TXN0000000125,CUST000002,Credit Card,2025-11-09,Debit,Healthcare,UPI,3102.34,Success,North Carolina
TXN0000000126,CUST000002,Savings Account,2026-06-03,Debit,Shopping,POS,5539.02,Success,North Carolina
TXN0000000127,CUST000002,Savings Account,2026-02-14,Debit,Shopping,POS,5612.07,Success,North Carolina
TXN0000000128,CUST000002,Credit Card,2025-10-06,Debit,Restaurant,Mobile Banking,3993.65,Success,North Carolina
TXN0000000129,CUST000002,Savings Account,2025-07-16,Debit,Healthcare,Mobile Banking,2325.54,Success,North Carolina
TXN0000000130,CUST000002,Credit Card,2025-07-12,Debit,Education,UPI,2523.57,Success,North Carolina
TXN0000000131,CUST000002,Savings Account,2025-10-28,Debit,Loan EMI,Internet Banking,4775.12,Success,North Carolina
TXN0000000132,CUST000002,Credit Card,2026-05-18,Debit,Loan EMI,UPI,2058.77,Success,North Carolina
TXN0000000133,CUST000002,Savings Account,2026-05-31,Debit,Healthcare,Internet Banking,2518.87,Success,North Carolina
TXN0000000134,CUST000002,Credit Card,2025-07-28,Credit,Salary Credit,ATM,36171.71,Success,North Carolina
TXN0000000135,CUST000002,Loan Account,2026-06-20,Debit,Fuel,Mobile Banking,4340.43,Success,North Carolina
TXN0000000136,CUST000002,Savings Account,2025-11-28,Debit,Utilities,UPI,1795.54,Success,North Carolina
TXN0000000137,CUST000002,Credit Card,2026-06-24,Debit,Utilities,UPI,692.99,Success,North Carolina
TXN0000000138,CUST000002,Loan Account,2025-12-10,Debit,Fuel,UPI,2311.56,Success,North Carolina
TXN0000000139,CUST000002,Loan Account,2025-07-24,Debit,Groceries,Mobile Banking,565.91,Success,North Carolina
TXN0000000140,CUST000002,Credit Card,2025-08-01,Credit,Salary Credit,UPI,25751.75,Success,North Carolina
TXN0000000141,CUST000002,Credit Card,2026-01-13,Debit,Entertainment,UPI,4097.9,Failed,North Carolina
TXN0000000142,CUST000002,Credit Card,2026-03-29,Debit,Loan EMI,POS,4172.85,Failed,North Carolina
TXN0000000143,CUST000002,Credit Card,2025-07-15,Credit,Salary Credit,UPI,22161.39,Success,North Carolina
TXN0000000144,CUST000002,Loan Account,2026-06-13,Credit,Cash Deposit,POS,17351.62,Success,North Carolina
TXN0000000145,CUST000002,Savings Account,2025-09-01,Debit,Insurance,Mobile Banking,5427.32,Success,North Carolina
TXN0000000146,CUST000002,Loan Account,2025-07-25,Debit,Groceries,Mobile Banking,1578.7,Success,North Carolina
TXN0000000147,CUST000002,Credit Card,2026-06-21,Debit,Entertainment,UPI,3913.41,Success,North Carolina
TXN0000000148,CUST000002,Savings Account,2026-03-28,Debit,Groceries,Internet Banking,1841.15,Success,North Carolina
TXN0000000149,CUST000002,Savings Account,2026-02-27,Debit,Loan EMI,Mobile Banking,3232.03,Success,North Carolina
TXN0000000150,CUST000002,Savings Account,2025-11-11,Credit,Loan Disbursement,Mobile Banking,18281.37,Success,North Carolina
TXN0000000151,CUST000002,Credit Card,2025-09-26,Debit,Loan EMI,Internet Banking,5174.83,Success,North Carolina
TXN0000000152,CUST000002,Loan Account,2025-07-29,Debit,Groceries,POS,3265.78,Success,North Carolina
TXN0000000153,CUST000002,Credit Card,2026-06-26,Debit,Utilities,Internet Banking,2291.69,Success,North Carolina
TXN0000000154,CUST000002,Loan Account,2025-11-13,Credit,Salary Credit,ATM,32453.7,Success,North Carolina
TXN0000000155,CUST000002,Credit Card,2025-10-29,Debit,Shopping,Mobile Banking,924.68,Success,North Carolina
TXN0000000156,CUST000002,Loan Account,2025-07-17,Debit,Restaurant,UPI,2393.01,Success,North Carolina
TXN0000000157,CUST000003,Credit Card,2025-08-27,Debit,Utilities,Internet Banking,5323.94,Success,Louisiana
TXN0000000158,CUST000003,Savings Account,2026-01-04,Credit,Salary Credit,UPI,21673.85,Success,Louisiana
TXN0000000159,CUST000003,Credit Card,2026-02-17,Debit,Shopping,UPI,5869.27,Success,Louisiana
TXN0000000160,CUST000003,Savings Account,2026-06-13,Debit,Travel,Internet Banking,2782.83,Success,Louisiana
TXN0000000161,CUST000003,Savings Account,2025-09-11,Debit,Groceries,UPI,3431.01,Success,Louisiana
TXN0000000162,CUST000003,Savings Account,2026-02-17,Credit,Salary Credit,Mobile Banking,11639.94,Success,Louisiana
TXN0000000163,CUST000003,Savings Account,2026-05-02,Debit,Groceries,UPI,1578.86,Success,Louisiana
TXN0000000164,CUST000003,Savings Account,2026-05-05,Debit,Fuel,UPI,2010.25,Success,Louisiana
TXN0000000165,CUST000003,Savings Account,2025-11-19,Debit,Utilities,Mobile Banking,2909.85,Success,Louisiana
TXN0000000166,CUST000003,Credit Card,2025-11-16,Credit,Salary Credit,Mobile Banking,40245.21,Success,Louisiana
TXN0000000167,CUST000003,Savings Account,2025-10-30,Debit,Investment,UPI,5099.06,Success,Louisiana
TXN0000000168,CUST000003,Savings Account,2026-02-18,Debit,Insurance,UPI,2000.46,Success,Louisiana
TXN0000000169,CUST000003,Credit Card,2025-11-18,Debit,Utilities,POS,2347.34,Success,Louisiana
TXN0000000170,CUST000003,Savings Account,2025-11-30,Debit,Healthcare,Internet Banking,775.04,Success,Louisiana
TXN0000000171,CUST000003,Savings Account,2026-01-29,Debit,Fuel,UPI,2775.64,Success,Louisiana
TXN0000000172,CUST000003,Savings Account,2026-05-23,Debit,Shopping,Mobile Banking,1000.57,Success,Louisiana
TXN0000000173,CUST000003,Savings Account,2025-09-11,Debit,Groceries,Mobile Banking,4458.9,Success,Louisiana
TXN0000000174,CUST000003,Credit Card,2026-06-12,Debit,Utilities,Mobile Banking,2523.77,Success,Louisiana
TXN0000000175,CUST000003,Credit Card,2026-03-16,Debit,Fuel,UPI,3509.72,Success,Louisiana
TXN0000000176,CUST000003,Savings Account,2025-12-01,Debit,Restaurant,UPI,777.82,Success,Louisiana
TXN0000000177,CUST000003,Savings Account,2025-08-31,Credit,Interest Credit,ATM,32610.8,Success,Louisiana
TXN0000000178,CUST000003,Credit Card,2026-01-16,Debit,Fuel,Internet Banking,1164.45,Success,Louisiana
TXN0000000179,CUST000003,Savings Account,2026-05-23,Debit,Groceries,UPI,3978.33,Success,Louisiana
TXN0000000180,CUST000003,Credit Card,2025-09-21,Debit,Shopping,UPI,2111.29,Success,Louisiana
TXN0000000181,CUST000003,Savings Account,2026-02-19,Credit,Salary Credit,UPI,38949.61,Success,Louisiana
TXN0000000182,CUST000003,Savings Account,2026-01-13,Debit,Restaurant,UPI,2543.68,Success,Louisiana
TXN0000000183,CUST000003,Savings Account,2026-03-18,Debit,Utilities,Internet Banking,2971.13,Success,Louisiana
TXN0000000184,CUST000003,Savings Account,2026-02-28,Debit,Groceries,UPI,1878.37,Success,Louisiana
TXN0000000185,CUST000003,Savings Account,2025-10-25,Debit,Shopping,UPI,2640.86,Success,Louisiana
TXN0000000186,CUST000003,Credit Card,2026-06-29,Debit,Fuel,Internet Banking,2442.72,Success,Louisiana
TXN0000000187,CUST000003,Credit Card,2026-02-10,Debit,Fuel,UPI,2632.78,Success,Louisiana
TXN0000000188,CUST000003,Credit Card,2026-05-24,Debit,Fuel,ATM,4827.8,Success,Louisiana
TXN0000000189,CUST000003,Credit Card,2026-01-16,Debit,Shopping,UPI,2462.65,Success,Louisiana
TXN0000000190,CUST000003,Savings Account,2026-01-11,Debit,Groceries,POS,3836.03,Success,Louisiana
TXN0000000191,CUST000003,Credit Card,2026-03-29,Credit,Cash Deposit,UPI,11646.04,Success,Louisiana
TXN0000000192,CUST000003,Credit Card,2025-11-13,Debit,Utilities,Mobile Banking,544.58,Success,Louisiana
TXN0000000193,CUST000003,Credit Card,2025-08-21,Debit,Shopping,POS,5552.51,Success,Louisiana
TXN0000000194,CUST000003,Savings Account,2026-01-09,Debit,Shopping,Mobile Banking,3825.17,Success,Louisiana
TXN0000000195,CUST000003,Savings Account,2025-08-12,Debit,Shopping,Mobile Banking,435.65,Success,Louisiana
TXN0000000196,CUST000003,Savings Account,2025-11-20,Credit,Cash Deposit,POS,27818.05,Success,Louisiana
TXN0000000197,CUST000003,Savings Account,2025-11-20,Debit,Groceries,POS,3669.53,Success,Louisiana
TXN0000000198,CUST000003,Savings Account,2026-06-18,Credit,Salary Credit,POS,37144.2,Success,Louisiana
TXN0000000199,CUST000003,Credit Card,2026-02-14,Debit,Shopping,UPI,3184.21,Success,Louisiana
TXN0000000200,CUST000003,Credit Card,2026-06-05,Debit,Utilities,ATM,408.96,Success,Louisiana
TXN0000000201,CUST000003,Savings Account,2026-01-19,Debit,Shopping,Mobile Banking,1586.78,Success,Louisiana
TXN0000000202,CUST000003,Credit Card,2026-05-03,Debit,Insurance,Internet Banking,1930.37,Success,Louisiana
TXN0000000203,CUST000003,Savings Account,2025-07-30,Credit,Salary Credit,Mobile Banking,21950.57,Success,Louisiana
TXN0000000204,CUST000003,Credit Card,2025-10-21,Credit,Investment Redemption,UPI,46060.16,Success,Louisiana
TXN0000000205,CUST000003,Credit Card,2026-04-01,Debit,Groceries,Mobile Banking,1363.74,Success,Louisiana
TXN0000000206,CUST000003,Savings Account,2025-08-04,Debit,Groceries,UPI,5082.13,Success,Louisiana
TXN0000000207,CUST000003,Savings Account,2025-11-26,Debit,Groceries,UPI,2322.65,Success,Louisiana
TXN0000000208,CUST000003,Credit Card,2026-03-11,Debit,Utilities,ATM,5820.57,Success,Louisiana
TXN0000000209,CUST000003,Credit Card,2025-07-26,Debit,Healthcare,Mobile Banking,2867.19,Success,Louisiana
TXN0000000210,CUST000004,Savings Account,2026-03-28,Debit,Fuel,POS,6037.15,Success,Indiana
TXN0000000211,CUST000004,Savings Account,2025-07-09,Debit,Fuel,Mobile Banking,9797.1,Success,Indiana
TXN0000000212,CUST000004,Savings Account,2025-11-27,Credit,Salary Credit,UPI,78680.51,Success,Indiana
TXN0000000213,CUST000004,Credit Card,2026-06-11,Credit,Interest Credit,Mobile Banking,89616.68,Success,Indiana
TXN0000000214,CUST000004,Credit Card,2026-05-19,Debit,Shopping,UPI,1683.28,Success,Indiana
TXN0000000215,CUST000004,Credit Card,2025-07-17,Debit,Healthcare,UPI,2495.19,Success,Indiana
TXN0000000216,CUST000004,Savings Account,2026-02-27,Debit,Shopping,Mobile Banking,9422.55,Success,Indiana
TXN0000000217,CUST000004,Credit Card,2026-03-09,Debit,Education,UPI,9328.76,Success,Indiana
TXN0000000218,CUST000004,Savings Account,2025-10-26,Debit,Shopping,POS,12011.54,Success,Indiana
TXN0000000219,CUST000004,Credit Card,2026-07-08,Debit,Shopping,UPI,4008.1,Success,Indiana
TXN0000000220,CUST000004,Credit Card,2026-06-04,Debit,Shopping,UPI,10133.38,Success,Indiana
TXN0000000221,CUST000004,Credit Card,2026-06-16,Debit,Healthcare,UPI,7860.53,Success,Indiana
TXN0000000222,CUST000004,Credit Card,2026-03-07,Credit,Salary Credit,Mobile Banking,11461.8,Success,Indiana
TXN0000000223,CUST000004,Savings Account,2026-01-09,Debit,Healthcare,UPI,11160.21,Success,Indiana
TXN0000000224,CUST000004,Credit Card,2025-08-19,Debit,Groceries,POS,11797.57,Success,Indiana
TXN0000000225,CUST000004,Savings Account,2026-06-16,Debit,Utilities,UPI,14182.27,Success,Indiana
TXN0000000226,CUST000004,Credit Card,2026-03-01,Credit,Salary Credit,UPI,37906.83,Success,Indiana
TXN0000000227,CUST000004,Credit Card,2026-02-19,Debit,Fuel,UPI,13001.01,Success,Indiana
TXN0000000228,CUST000004,Credit Card,2026-01-16,Debit,Insurance,Mobile Banking,11277.96,Success,Indiana
TXN0000000229,CUST000004,Savings Account,2025-12-03,Debit,Shopping,POS,13902.5,Success,Indiana
TXN0000000230,CUST000004,Savings Account,2026-01-22,Debit,Healthcare,UPI,8409.38,Success,Indiana
TXN0000000231,CUST000004,Credit Card,2025-11-22,Debit,Restaurant,Internet Banking,6678.68,Success,Indiana
TXN0000000232,CUST000004,Savings Account,2026-05-31,Credit,Salary Credit,UPI,99833.55,Success,Indiana
TXN0000000233,CUST000004,Savings Account,2026-04-26,Debit,Shopping,UPI,11373.52,Success,Indiana
TXN0000000234,CUST000004,Credit Card,2026-01-04,Debit,Shopping,UPI,2330.34,Success,Indiana
TXN0000000235,CUST000004,Credit Card,2025-11-23,Debit,Restaurant,Mobile Banking,10346.4,Success,Indiana
TXN0000000236,CUST000004,Savings Account,2026-05-11,Debit,Shopping,ATM,6271.49,Success,Indiana
TXN0000000237,CUST000004,Credit Card,2025-07-13,Debit,Shopping,UPI,13746.37,Success,Indiana
TXN0000000238,CUST000004,Savings Account,2026-04-30,Credit,Salary Credit,POS,92483.1,Success,Indiana
TXN0000000239,CUST000004,Credit Card,2025-08-01,Debit,Insurance,UPI,6954.11,Success,Indiana
TXN0000000240,CUST000004,Savings Account,2026-01-04,Debit,Shopping,Mobile Banking,13424.31,Success,Indiana
TXN0000000241,CUST000004,Savings Account,2026-01-05,Debit,Groceries,Mobile Banking,2513.71,Success,Indiana
TXN0000000242,CUST000004,Savings Account,2026-06-05,Debit,Healthcare,ATM,8498.88,Success,Indiana
TXN0000000243,CUST000004,Savings Account,2026-05-05,Credit,Cash Deposit,Mobile Banking,57312.61,Success,Indiana
TXN0000000244,CUST000004,Savings Account,2026-05-03,Debit,Shopping,UPI,10361.58,Success,Indiana
TXN0000000245,CUST000004,Savings Account,2026-04-17,Credit,Salary Credit,UPI,21174.5,Success,Indiana
TXN0000000246,CUST000004,Savings Account,2026-03-02,Debit,Fuel,Mobile Banking,14143.11,Success,Indiana
TXN0000000247,CUST000004,Savings Account,2025-10-24,Credit,Salary Credit,ATM,66252.01,Success,Indiana
TXN0000000248,CUST000004,Credit Card,2025-09-23,Debit,Restaurant,ATM,2982.41,Success,Indiana
TXN0000000249,CUST000004,Credit Card,2025-08-09,Credit,Salary Credit,Mobile Banking,95369.22,Success,Indiana
TXN0000000250,CUST000004,Credit Card,2025-08-14,Debit,Restaurant,Mobile Banking,939.15,Success,Indiana
TXN0000000251,CUST000004,Savings Account,2025-07-21,Debit,Healthcare,UPI,10432.37,Success,Indiana
TXN0000000252,CUST000004,Credit Card,2026-01-26,Debit,Shopping,ATM,3458.33,Success,Indiana
TXN0000000253,CUST000004,Savings Account,2026-01-26,Credit,Investment Redemption,UPI,21768.95,Success,Indiana
