session_id,customer_id,login_datetime,login_channel,device_type,login_status,session_duration_minutes,activity_type,transactions_in_session,biometric_login,state
SESS0000000130,CUST000006,2026-04-13 18:49:32.157345,Mobile App,iPhone,Success,20,Bill Payment,1,Yes,South Dakota
SESS0000000131,CUST000006,2026-01-03 00:26:32.157360,Mobile App,MacBook,Success,6,Balance Enquiry,0,No,South Dakota
SESS0000000132,CUST000006,2026-01-04 04:41:32.157375,Mobile App,Android,Success,3,Balance Enquiry,0,No,South Dakota
SESS0000000133,CUST000006,2026-02-16 10:10:32.157391,Mobile App,Android,Success,3,Funds Transfer,2,Yes,South Dakota
SESS0000000134,CUST000006,2026-02-11 18:19:32.157407,Web Portal,Android,Success,13,Funds Transfer,2,Yes,South Dakota
SESS0000000135,CUST000006,2025-08-01 05:32:32.157422,Mobile App,Windows,Success,8,Balance Enquiry,0,No,South Dakota
SESS0000000136,CUST000006,2026-03-28 13:02:32.157437,Mobile App,iPhone,Success,8,Funds Transfer,0,Yes,South Dakota
SESS0000000137,CUST000006,2026-01-31 04:32:32.157454,Mobile App,MacBook,Success,5,Profile Update,0,No,South Dakota
SESS0000000138,CUST000006,2026-05-03 23:37:32.157469,Mobile App,iPhone,Success,19,Credit Card Payment,1,Yes,South Dakota
SESS0000000139,CUST000006,2025-07-10 09:55:32.157485,Web Portal,Android,Success,4,Balance Enquiry,0,No,South Dakota
SESS0000000140,CUST000006,2025-10-23 21:07:32.157501,Mobile App,Android,Success,7,Bill Payment,0,Yes,South Dakota
SESS0000000141,CUST000006,2026-05-28 15:36:32.157516,Mobile App,iPhone,Success,4,Loan Account View,0,Yes,South Dakota
SESS0000000142,CUST000006,2025-11-03 09:26:32.157531,Web Portal,Android,Success,5,Statement Download,0,Yes,South Dakota
SESS0000000143,CUST000006,2026-01-28 18:57:32.157547,Mobile App,Android,Success,9,Balance Enquiry,0,Yes,South Dakota
SESS0000000144,CUST000006,2026-03-04 13:11:32.157562,Mobile App,Android,Success,5,Balance Enquiry,0,No,South Dakota
SESS0000000145,CUST000006,2026-04-02 11:46:32.157577,Web Portal,Android,Success,5,Bill Payment,1,Yes,South Dakota
SESS0000000146,CUST000006,2026-06-14 15:59:32.157593,Mobile App,Android,Success,5,Balance Enquiry,0,Yes,South Dakota
SESS0000000147,CUST000006,2026-01-02 15:52:32.157608,Mobile App,Android,Success,3,Funds Transfer,1,Yes,South Dakota
SESS0000000148,CUST000006,2026-05-04 13:52:32.157624,Mobile App,Android,Success,10,Loan Account View,0,Yes,South Dakota
SESS0000000149,CUST000006,2026-01-19 01:44:32.157639,Mobile App,Android,Success,3,Balance Enquiry,0,Yes,South Dakota
SESS0000000150,CUST000006,2025-07-10 22:58:32.157655,Mobile App,iPhone,Success,8,Bill Payment,1,No,South Dakota
SESS0000000151,CUST000006,2025-09-06 02:01:32.157670,Web Portal,Android,Success,3,Credit Card Payment,0,Yes,South Dakota
SESS0000000152,CUST000006,2026-03-06 15:41:32.157686,Web Portal,iPhone,Success,2,Funds Transfer,2,Yes,South Dakota
SESS0000000153,CUST000006,2025-08-29 01:22:32.157721,Web Portal,Android,Success,2,Funds Transfer,2,Yes,South Dakota
SESS0000000154,CUST000007,2025-10-09 06:43:32.157798,Mobile App,Android,Success,4,Reward Redemption,1,Yes,Colorado
SESS0000000155,CUST000007,2026-02-10 19:04:32.157817,Mobile App,Android,Success,5,Reward Redemption,1,No,Colorado
SESS0000000156,CUST000007,2025-12-18 05:28:32.157833,Web Portal,iPhone,Success,15,Balance Enquiry,0,Yes,Colorado
SESS0000000157,CUST000007,2026-03-27 00:00:32.157850,Web Portal,Windows,Success,7,Credit Card Payment,0,No,Colorado
SESS0000000158,CUST000007,2026-06-12 13:51:32.157866,Mobile App,Android,Success,5,Bill Payment,0,Yes,Colorado
SESS0000000159,CUST000007,2025-11-05 21:05:32.157882,Mobile App,Windows,Success,8,Offer Browsing,0,No,Colorado
SESS0000000160,CUST000007,2026-04-10 03:21:32.157897,Web Portal,Android,Success,2,Bill Payment,0,No,Colorado
SESS0000000161,CUST000007,2025-09-20 22:11:32.157913,Web Portal,Windows,Success,18,Balance Enquiry,0,No,Colorado
SESS0000000162,CUST000007,2026-02-19 10:26:32.157929,Mobile App,Android,Success,9,Profile Update,0,Yes,Colorado
SESS0000000163,CUST000007,2026-04-09 21:23:32.157944,Mobile App,Android,Success,5,Bill Payment,0,Yes,Colorado
SESS0000000164,CUST000007,2025-11-06 06:18:32.157957,Mobile App,Android,Failed,4,Login Failed,0,Yes,Colorado
SESS0000000165,CUST000007,2025-08-08 05:33:32.157973,Mobile App,Android,Success,2,Bill Payment,1,Yes,Colorado
SESS0000000166,CUST000007,2025-08-15 07:54:32.157988,Mobile App,Windows,Success,3,Loan Account View,0,No,Colorado
SESS0000000167,CUST000007,2025-10-05 19:25:32.158004,Mobile App,iPhone,Success,10,Bill Payment,1,Yes,Colorado
SESS0000000168,CUST000007,2025-09-18 00:08:32.158020,Mobile App,Android,Success,6,Balance Enquiry,0,Yes,Colorado
SESS0000000169,CUST000007,2025-10-19 03:48:32.158036,Mobile App,Windows,Success,5,Balance Enquiry,0,No,Colorado
SESS0000000170,CUST000007,2025-07-15 14:43:32.158051,Web Portal,iPhone,Success,2,Balance Enquiry,0,Yes,Colorado
SESS0000000171,CUST000007,2025-12-29 04:49:32.158067,Web Portal,Android,Success,9,Credit Card Payment,1,Yes,Colorado
SESS0000000172,CUST000007,2025-10-06 04:44:32.158083,Mobile App,Android,Success,11,Statement Download,0,Yes,Colorado
SESS0000000173,CUST000007,2026-03-13 09:48:32.158098,Mobile App,iPhone,Success,4,Funds Transfer,2,Yes,Colorado
SESS0000000174,CUST000008,2025-09-04 19:32:32.158168,Web Portal,Android,Success,3,Bill Payment,1,Yes,Hawaii
SESS0000000175,CUST000008,2026-03-10 17:41:32.158187,Mobile App,iPhone,Success,15,Balance Enquiry,0,No,Hawaii
SESS0000000176,CUST000008,2025-08-21 19:50:32.158203,Mobile App,Android,Success,8,Statement Download,0,Yes,Hawaii
SESS0000000177,CUST000008,2025-11-08 09:23:32.158219,Mobile App,Android,Success,9,Funds Transfer,2,No,Hawaii
SESS0000000178,CUST000008,2026-01-19 21:12:32.158235,Web Portal,Android,Success,6,Balance Enquiry,0,Yes,Hawaii
SESS0000000179,CUST000008,2026-04-02 22:31:32.158251,Mobile App,Android,Success,14,Bill Payment,0,Yes,Hawaii
SESS0000000180,CUST000008,2025-11-05 09:33:32.158267,Mobile App,MacBook,Success,9,Offer Browsing,0,No,Hawaii
SESS0000000181,CUST000008,2026-01-05 00:21:32.158283,Mobile App,Android,Success,16,Funds Transfer,1,Yes,Hawaii
SESS0000000182,CUST000008,2026-06-30 08:42:32.158298,Web Portal,Android,Success,5,Balance Enquiry,0,Yes,Hawaii
SESS0000000183,CUST000008,2026-02-27 01:31:32.158314,Mobile App,Android,Success,9,Bill Payment,1,Yes,Hawaii
SESS0000000184,CUST000008,2025-10-13 15:24:32.158330,Web Portal,Android,Success,2,Balance Enquiry,0,Yes,Hawaii
SESS0000000185,CUST000008,2025-12-29 15:38:32.158345,Mobile App,Android,Success,5,Balance Enquiry,0,Yes,Hawaii
SESS0000000186,CUST000008,2026-06-30 00:25:32.158361,Mobile App,Android,Success,12,Statement Download,0,Yes,Hawaii
SESS0000000187,CUST000008,2026-02-22 05:12:32.158376,Mobile App,Android,Success,5,Statement Download,0,Yes,Hawaii
SESS0000000188,CUST000008,2026-05-22 04:53:32.158392,Mobile App,Android,Success,6,Balance Enquiry,0,Yes,Hawaii
SESS0000000189,CUST000008,2025-10-11 16:03:32.158407,Mobile App,iPhone,Success,11,Statement Download,0,Yes,Hawaii
SESS0000000190,CUST000008,2026-01-28 17:04:32.158423,Mobile App,Android,Success,5,Bill Payment,0,Yes,Hawaii
SESS0000000191,CUST000008,2025-12-23 18:09:32.158439,Mobile App,iPhone,Success,2,Profile Update,0,Yes,Hawaii
SESS0000000192,CUST000008,2026-01-22 16:37:32.158455,Mobile App,iPhone,Success,5,Loan Account View,0,No,Hawaii
SESS0000000193,CUST000008,2026-05-25 21:59:32.158470,Mobile App,Android,Success,2,Bill Payment,1,No,Hawaii
SESS0000000194,CUST000009,2026-02-01 02:54:32.158539,Mobile App,iPhone,Success,2,Balance Enquiry,0,Yes,Washington
SESS0000000195,CUST000009,2025-09-28 14:39:32.158558,Mobile App,Android,Success,4,Balance Enquiry,0,Yes,Washington
SESS0000000196,CUST000009,2025-09-19 01:07:32.158574,Mobile App,Android,Success,3,Offer Browsing,0,Yes,Washington
SESS0000000197,CUST000009,2026-05-30 06:01:32.158590,Web Portal,Android,Success,5,Funds Transfer,1,Yes,Washington
SESS0000000198,CUST000009,2026-01-21 02:56:32.158606,Mobile App,Android,Success,8,Statement Download,0,Yes,Washington
SESS0000000199,CUST000009,2026-02-08 17:33:32.158621,Mobile App,Android,Success,3,Funds Transfer,1,No,Washington
SESS0000000200,CUST000009,2025-07-24 00:16:32.158637,Web Portal,Android,Success,7,Balance Enquiry,0,No,Washington
SESS0000000201,CUST000009,2026-04-27 20:58:32.158653,Mobile App,Android,Success,3,Loan Account View,0,No,Washington
SESS0000000202,CUST000009,2025-12-06 00:15:32.158669,Mobile App,Android,Success,10,Funds Transfer,2,Yes,Washington
SESS0000000203,CUST000009,2025-08-29 15:41:32.158685,Web Portal,iPhone,Success,5,Funds Transfer,2,Yes,Washington
SESS0000000204,CUST000009,2025-11-22 05:52:32.158720,Mobile App,Android,Success,3,Bill Payment,0,Yes,Washington
SESS0000000205,CUST000009,2026-01-11 07:56:32.158737,Mobile App,Windows,Success,3,Loan Account View,0,No,Washington
SESS0000000206,CUST000009,2025-07-10 14:16:32.158753,Web Portal,iPhone,Success,7,Balance Enquiry,0,Yes,Washington
SESS0000000207,CUST000009,2025-08-20 12:06:32.158769,Mobile App,Android,Success,9,Funds Transfer,1,No,Washington
SESS0000000208,CUST000009,2026-03-25 08:29:32.158784,Mobile App,Android,Success,10,Balance Enquiry,0,Yes,Washington
SESS0000000209,CUST000009,2025-10-10 20:57:32.158800,Mobile App,Android,Success,5,Balance Enquiry,0,No,Washington
SESS0000000210,CUST000009,2025-08-27 23:12:32.158815,Mobile App,iPhone,Success,4,Credit Card Payment,1,Yes,Washington
SESS0000000211,CUST000009,2025-09-17 04:50:32.158831,Mobile App,iPhone,Success,3,Funds Transfer,0,Yes,Washington
SESS0000000212,CUST000009,2026-07-04 02:09:32.158846,Mobile App,Android,Success,10,Balance Enquiry,0,Yes,Washington
SESS0000000213,CUST000009,2026-05-26 23:16:32.158862,Mobile App,Android,Success,3,Funds Transfer,0,Yes,Washington
SESS0000000214,CUST000009,2025-09-30 01:10:32.158877,Mobile App,Android,Success,10,Credit Card Payment,1,No,Washington
SESS0000000215,CUST000009,2026-05-16 17:24:32.158893,Mobile App,iPhone,Success,3,Balance Enquiry,0,Yes,Washington
SESS0000000216,CUST000009,2026-03-22 17:40:32.158908,Mobile App,iPhone,Success,5,Service Request,0,Yes,Washington
SESS0000000217,CUST000009,2025-09-06 00:07:32.158924,Mobile App,Android,Success,4,Funds Transfer,1,No,Washington
SESS0000000218,CUST000009,2026-06-08 08:22:32.158940,Mobile App,MacBook,Success,7,Balance Enquiry,0,No,Washington
SESS0000000219,CUST000009,2025-08-19 08:37:32.158956,Mobile App,iPhone,Success,5,Funds Transfer,2,Yes,Washington
SESS0000000220,CUST000009,2026-01-21 23:17:32.158971,Web Portal,iPhone,Success,16,Funds Transfer,1,Yes,Washington
SESS0000000221,CUST000009,2026-02-21 06:24:32.158987,Mobile App,Android,Success,10,Loan Account View,0,No,Washington
